persona,ta,tl,tg,ra,rl,rg2,v2l,v2g,bg,bl,rv1,rv2
Rational (loss-neutral),0.9,1.05,0.1,0.50838,1.38816,0.07171,0.75535,0.10889,0.43631,0.32956,6.06298,5.3336
Rational (loss-neutral),0.9,1.05,0.1,0.4625,1.66632,0.06075,0.89849,0.08412,0.38779,0.34843,6.43353,5.80288
Rational (loss-neutral),0.9,1.05,0.1,0.51037,1.46234,0.07609,0.83694,0.11085,0.40079,0.33544,6.00948,5.38307
Rational (loss-neutral),0.9,1.05,0.1,0.53337,1.35151,0.09147,0.81367,0.13551,0.40592,0.33028,5.71556,4.92032
Rational (loss-neutral),0.9,1.05,0.1,0.4981,1.5317,0.06005,0.91972,0.09321,0.37447,0.3444,6.20976,5.79068
Rational (loss-neutral),0.9,1.05,0.1,0.5119,1.46335,0.09943,0.83372,0.14703,0.40505,0.3377,6.05543,5.22012
Canonical PT (T-K 1992),0.88,2.25,1.0,0.50365,1.17864,0.45892,0.66951,0.99202,0.46663,0.31241,8.83429,8.73278
Canonical PT (T-K 1992),0.88,2.25,1.0,0.55304,1.1985,0.50147,0.79746,0.96373,0.40565,0.32349,7.35269,7.36843
Canonical PT (T-K 1992),0.88,2.25,1.0,0.5345,1.15623,0.49641,0.71782,0.98293,0.44129,0.31676,7.85438,7.70664
Canonical PT (T-K 1992),0.88,2.25,1.0,0.5085,1.25723,0.45869,0.79198,0.9677,0.41055,0.32515,8.31939,8.06651
Canonical PT (T-K 1992),0.88,2.25,1.0,0.52739,1.30277,0.52304,0.76161,0.95928,0.41723,0.31777,7.37838,7.25699
Canonical PT (T-K 1992),0.88,2.25,1.0,0.48499,1.31018,0.45654,0.73134,0.94094,0.44438,0.32499,8.79367,8.58925
Strong loss-averse,0.8,3.5,1.0,0.51442,1.17508,0.46739,0.64827,1.01591,0.46655,0.30245,7.94813,7.42002
Strong loss-averse,0.8,3.5,1.0,0.50029,1.16579,0.46684,0.69003,1.01397,0.44239,0.30526,8.3687,7.96701
Strong loss-averse,0.8,3.5,1.0,0.54231,1.25026,0.55555,0.73489,1.04972,0.42646,0.3134,6.84036,7.01883
Strong loss-averse,0.8,3.5,1.0,0.52328,1.09989,0.47509,0.6448,1.00914,0.45869,0.29577,7.79862,7.75701
Strong loss-averse,0.8,3.5,1.0,0.50441,1.08527,0.4264,0.62174,0.98562,0.47717,0.29668,8.90411,8.47814
Strong loss-averse,0.8,3.5,1.0,0.53619,1.11358,0.4994,0.66602,1.02987,0.44731,0.29792,7.50192,7.42837
Loss-tolerant risk-seeker,0.95,1.2,0.5,0.53042,1.30502,0.35179,0.81205,0.64185,0.40938,0.33243,6.20757,6.28478
Loss-tolerant risk-seeker,0.95,1.2,0.5,0.47972,1.55587,0.37599,0.8385,0.76973,0.4107,0.34437,7.47473,7.77386
Loss-tolerant risk-seeker,0.95,1.2,0.5,0.49183,1.53311,0.37456,0.77699,0.74893,0.4312,0.33504,6.73205,7.12519
Loss-tolerant risk-seeker,0.95,1.2,0.5,0.50122,1.44882,0.34654,0.7843,0.65925,0.42335,0.33203,6.55329,6.78715
Loss-tolerant risk-seeker,0.95,1.2,0.5,0.48988,1.46822,0.37299,0.83627,0.75211,0.40781,0.34104,6.81476,6.97475
Loss-tolerant risk-seeker,0.95,1.2,0.5,0.52411,1.30107,0.35914,0.80407,0.65772,0.41,0.32967,6.40403,6.41463
