ta,tl,tg,ra,rl,rg2,v2l,v2g,bg,bl,rv1,rv2
0.9774,2.258,3.5316,0.52373,0.68691,0.68347,0.67694,1.44463,0.47068,0.31862,10.34252,10.81772
0.8418,3.056,3.5144,0.52339,0.9549,0.67276,0.95317,1.72342,0.34479,0.32864,8.77683,10.66698
0.7792,2.2483,0.7733,0.40156,1.04437,0.27626,0.69256,0.85245,0.46248,0.3203,8.00456,7.96172
0.7568,2.0358,3.4153,0.6583,0.83308,0.95304,1.48044,2.00218,0.25342,0.37518,8.8039,10.76881
0.9711,3.8301,0.0756,0.38625,0.9186,0.01351,0.62798,0.07385,0.47003,0.29517,7.02264,6.61114
0.8055,3.2758,1.9415,0.4211,0.80654,0.40002,0.63412,1.26088,0.4828,0.30616,9.63941,10.09827
0.8225,1.2482,1.9674,0.55784,0.67803,0.68085,0.74476,1.45521,0.42952,0.31989,9.10496,9.90434
0.7842,1.6773,2.1596,0.63289,1.02632,1.06286,1.16023,1.53583,0.30231,0.35075,6.53636,7.48647
0.8697,3.7204,1.4363,0.40974,0.845,0.24799,0.63811,1.00412,0.47982,0.30618,9.33916,9.66907
0.9381,3.1547,0.4652,0.38779,1.01811,0.17975,0.65341,0.61337,0.48574,0.31739,7.5866,7.55674
0.8926,1.5677,0.2886,0.45418,1.01046,0.14193,0.71041,0.35678,0.46433,0.32986,6.80398,6.27805
0.9681,1.784,1.6259,0.57362,0.85934,0.51449,0.77785,1.04975,0.41116,0.31982,7.30519,7.53025
0.6055,4.4654,2.2488,0.39894,1.32106,0.52263,1.10265,1.87806,0.33877,0.37355,8.3685,10.15278
0.7153,1.6129,1.202,0.57108,0.92574,0.58796,0.88924,1.21057,0.36771,0.32698,6.87196,7.21049
0.9149,2.5773,3.6673,0.55876,0.76017,0.73004,0.77196,1.54871,0.40648,0.31379,9.09206,10.72591
0.8032,3.3512,3.5424,0.5413,0.98243,0.66694,1.10453,1.86992,0.31263,0.34531,8.77773,10.68896
0.7144,1.7372,3.4978,0.73646,1.11215,1.17143,2.9413,2.21426,0.14926,0.43901,8.40895,10.41212
0.7059,2.7431,1.1985,0.42586,0.86513,0.31815,0.66696,1.11875,0.47408,0.31619,8.97219,8.81725
