i,alpha,lam,gamma,tau,k,noise,alpha_hat,lam_hat,gamma_hat,gconf,lconf
0,0.8318259240808067,3.516989354263699,3.223738297131857,0.5544652396177641,0.8280926612968189,0.16967803390752229,0.6649319884915134,2.435156312688429,3.37105449310207,ok,ok
1,0.9159996416006653,3.2687520375923107,2.1716091007580123,0.7458292912484603,0.6745941829845691,0.1361762478797002,0.6558356093943561,2.5324024592496808,2.4118602098088724,ok,ok
2,0.8450957014429404,3.2175352657284675,0.4944501509349208,0.8301066454879958,0.6296730725157011,0.14190703383179776,0.6829607719563274,2.4017753794551138,0.3114884009414962,ok,ok
3,0.843723943619777,1.6377825757743152,2.2185908184045537,0.4061403185594964,0.9874026390798345,0.16811762499564847,0.6450560106599337,1.334108595791596,3.514674077451797,ok,ok
4,0.8972132850893851,2.1470271564829635,3.256152713167184,0.5231866317737728,0.7645927666802864,0.1944438521911388,0.6578177114824366,2.1398341145706277,3.361208203671888,ok,ok
5,0.7514484055538847,3.6898524032598683,1.6834280194413551,0.7841806218209828,0.7268594646529523,0.18078771511060784,0.5815433658661735,2.586608786709332,2.1711469053253354,ok,ok
6,0.7951136254246793,3.1758539024902204,0.2846247058923593,0.9010866348163835,0.6597072400509064,0.10106773060981314,0.709238277071832,2.5580167664596396,0.28338378252218993,weak,ok
7,0.7322160372097781,3.4892758724405724,2.116004152313544,0.91381520643628,0.7180343972599302,0.17051446917287344,0.627496300753188,2.5157760395470086,2.9104560739870053,ok,ok
8,0.945432959047684,3.8716203600234493,1.7414790896479981,0.6175944056802568,0.9302490528939688,0.13887426293968375,0.6303170487283349,3.4601660051224985,1.7567485724648082,ok,weak
9,0.8307757048918721,2.3854643935611444,1.350383490176622,0.7423234928218734,0.745189165348488,0.10355568590698798,0.6230791331400826,2.3987540456354757,2.122726216433893,ok,ok
10,0.7529963348372007,2.046550141028719,2.5715760247109327,0.7502312690879135,0.944079995964463,0.1777181343819401,0.6669647529966594,2.257447274760985,3.450863418924429,ok,ok
11,0.9447481675640861,2.637589851053953,1.934450472132708,0.6262609572650559,0.984877236020154,0.16789693855762522,0.6575111759957033,2.1357259556790655,3.101919321960172,ok,ok
12,0.8566451530302855,3.29505554309511,1.8068136110218895,0.4971671744337979,0.7330213786487473,0.1965139755347704,0.6341635289829591,2.7181195985713993,2.4416189224838636,ok,ok
13,0.8632461207744164,3.265026043872954,0.22674401913654285,0.5405365766799971,0.6662099500757827,0.18500008024951886,0.6775808072598505,2.5168518488707265,0.2628342752495982,weak,ok
14,0.851875086658098,3.219361198203277,1.4369903793338878,0.639325608757784,0.6727646854850879,0.16470402381680338,0.6300572880894859,2.942480500595612,1.3941795511117205,ok,ok
15,0.7601405362243384,3.3888506873885342,1.2721355226800877,0.4690868224301916,0.8576143341373665,0.1776170475728862,0.6351930914973283,3.6661206336539083,1.3694753794966017,ok,ok
16,0.8592653531123512,2.1352226764314173,2.774136804014454,0.5754868832170212,0.6025257046351822,0.11162289912013199,0.5588388701795923,2.123301404509598,2.778297482782303,ok,ok
17,0.8256592211296165,1.987909659283894,1.2730251184044283,0.9990191866586382,0.8914855319380665,0.18206856464090854,0.5907671578089203,2.0946438228389077,2.0107676708246154,ok,ok
18,0.9432124925603029,2.887726213121854,1.8507493525310759,0.9890390462567688,0.7417271923826412,0.15727117991813094,0.590934542574422,2.5505231784685467,2.474252110379796,ok,ok
19,0.76643803990275,2.829228756795552,1.0643713595350304,0.8080196462546579,0.6635035580367644,0.13393637768848712,0.6290620376019613,2.512399068732555,0.994572152240989,ok,ok
20,0.8937388531145394,1.9376542706550204,2.589139865084129,0.843175308789248,0.9892146765969116,0.11998432163870132,0.6841437737319641,1.9556462382855375,3.6982623135631156,ok,ok
21,0.9690742652887814,1.3315984090308484,3.1176352619963144,0.5802004160155618,0.679607760795412,0.10436669173962852,0.6315703858449427,1.4435269229675725,3.3447900949165956,ok,ok
22,0.8251494662483314,1.261798806711384,1.8858545236579654,0.47748808782585617,0.976167095117431,0.15540071933768584,0.6284048118387529,1.413130362081489,3.167723165700057,ok,ok
23,0.9038222565535731,3.7249429283466045,2.9442055417247572,0.8570844219392351,0.8037260217007962,0.15612851458153887,0.6329179613379434,3.2698581136014924,3.351228621129699,ok,weak
24,0.8732429583858619,1.6441564732769083,2.424236880992916,0.704514470254952,0.7178590126649829,0.13110159847044825,0.6082701039424439,1.9660905462843978,3.0075584051917295,ok,ok
25,0.9475379696498245,3.7850008893730624,1.0926169909258687,0.9126242788958114,0.9630686666723277,0.18617865093891198,0.6891625304061278,6.127885806043027,0.8847880546546385,ok,weak
26,0.7182848245151232,3.4874553112707263,2.455910876848811,0.933220168895515,0.9570826735556706,0.11758614514373093,0.6242893499770914,2.8382962336247703,3.0957244272580544,ok,ok
27,0.8067469093332635,2.17508127195498,3.025464686120424,0.6016153513546583,0.8891653291099761,0.14496514806581173,0.6800033716067014,1.8813484763768678,3.482089172998473,ok,ok
28,0.8575331313221466,1.6963474293840757,0.5698455394180055,0.8438674925019896,0.829043098382733,0.15560793253013022,0.6825723405042555,1.743190063329855,0.7355598279348794,ok,ok
