true_alpha,true_lambda,true_gamma,rec_alpha,rec_lambda,rec_gamma
0.6079,2.7475,2.7067,0.6151,2.9227,2.7453
0.5817,1.4542,4.2675,0.6988,1.3658,4.0709
0.8483,1.9636,0.6209,0.9226,1.8723,0.7099
0.9175,2.9218,4.4141,0.8521,2.0606,3.4898
0.709,3.0706,1.0589,0.8396,4.3787,1.4529
0.7602,1.97,0.374,0.8192,2.2478,0.3726
0.853,1.7078,4.0564,0.8224,1.3886,3.8575
0.7056,2.6412,4.0776,0.6769,1.9361,3.9931
0.6219,4.4875,2.0687,0.5767,3.5571,2.1051
0.9307,3.0576,1.3892,0.865,2.4317,1.3996
0.5611,3.9369,2.0984,0.6467,2.4401,2.28
0.5779,3.0944,4.0309,0.6253,2.9822,3.8354
0.5918,1.0629,1.3184,0.7284,0.8105,2.1942
0.6477,2.1031,1.1616,0.7911,1.6467,1.6922
0.7462,2.1001,3.3593,0.6949,1.6581,3.0513
0.6603,3.9583,3.3381,0.6952,3.7962,3.4921
0.9015,4.2463,0.6738,0.8868,7.1209,0.7051
0.9038,4.1314,3.4165,0.9124,4.1821,2.6359
0.9995,1.5041,1.0994,0.9045,1.4741,1.0526
0.8364,1.5591,2.2422,0.8159,1.7196,1.9526
0.5674,1.4033,2.4987,0.669,2.4638,3.2749
0.7084,1.4573,1.4184,0.7711,1.4551,1.9776
0.5888,2.9653,4.3353,0.6967,3.4184,4.2087
0.9129,3.3918,0.6477,0.9469,4.2123,0.6383
0.8734,3.8162,3.4219,0.8874,2.5297,3.2349
0.6121,2.3664,2.2403,0.6519,2.1667,2.2965
0.6579,3.179,1.6076,0.7194,3.0583,1.8712
0.7368,2.9363,3.0301,0.7218,2.4178,3.0184
0.5932,2.1372,2.471,0.6408,1.9294,2.7158
0.9027,3.2294,4.0581,0.9257,2.682,3.9791
0.703,3.6245,1.7316,0.7303,2.4388,1.5471
0.8851,2.9586,3.5232,0.9055,3.3777,3.8052
0.7998,3.8511,3.175,0.8688,4.6565,3.6178
0.5987,4.065,1.6707,0.5783,3.0446,1.7695
0.7428,3.9821,0.6201,0.8137,4.12,0.593
0.7747,1.4695,2.3041,0.9099,1.1068,2.8231
0.5804,2.6093,4.385,0.6387,1.8222,3.9722
0.6041,2.4649,0.9331,0.7129,2.1783,1.2803
0.6649,4.0344,3.4481,0.6837,8.0,3.4777
0.9868,1.2786,0.7159,0.9087,1.3304,0.6837
0.5741,1.7681,1.7368,0.6401,2.0667,2.0372
0.5703,2.5821,3.9368,0.6839,2.8941,4.148
0.9681,2.4231,3.3573,0.9439,2.0672,3.5227
0.5889,3.3217,3.6414,0.6286,2.6284,3.706
0.9561,4.0463,4.3542,0.9252,4.2353,4.0028
0.6324,2.021,3.243,0.6566,1.9925,3.7023
0.752,4.3867,0.7474,0.7802,4.3867,0.6846
0.7699,2.1619,0.7574,0.8449,2.1405,0.7985
0.5646,2.3696,2.6243,0.6623,1.9383,3.712
0.9713,3.7989,2.1493,0.9079,8.0,1.9824
0.5687,3.7959,1.1071,0.6066,3.0353,1.0693
0.7462,2.2745,2.9634,0.7192,2.2283,2.9681
0.7887,4.0304,1.8714,0.7982,3.9124,1.662
0.8194,1.7918,0.3027,0.7968,1.7868,0.2752
0.8037,4.1066,1.6455,0.8851,3.0068,1.6549
0.7232,2.1103,1.7433,0.6902,3.2265,1.8231
0.8873,4.3511,1.5963,0.8667,4.1521,1.5198
0.9502,3.6107,4.2426,0.9548,3.3895,3.9677
0.5571,1.6951,1.8546,0.6663,1.4224,2.2277
0.8924,1.2471,3.0524,0.9188,1.1426,3.3076
0.8574,2.4185,1.3255,0.9013,2.7105,1.4625
0.6613,1.0742,3.6481,0.6926,1.3143,3.4211
0.6877,3.0482,1.3869,0.7336,2.1828,1.4064
0.5614,1.7839,4.0926,0.6388,1.9884,3.9329
0.9473,2.0355,1.6935,0.9216,2.0367,1.9507
0.6305,1.6326,3.4108,0.6592,1.6918,3.9615
0.7395,1.4665,4.0071,0.7196,1.2809,4.1374
0.7233,2.2015,2.5895,0.7124,2.2838,2.6915
0.9313,2.3561,1.6761,0.8927,1.907,1.6854
0.5917,2.5789,2.3231,0.6866,1.9712,2.9512
0.8277,3.202,0.6819,0.9571,2.5428,0.81
0.6338,2.8374,1.4555,0.7092,4.2391,1.5635
0.6962,2.7638,1.6752,0.7575,4.5239,1.7331
0.6664,1.8884,4.2925,0.6864,2.0976,4.0194
0.9912,1.5743,4.2371,0.9793,1.6204,4.013
0.8751,2.5693,2.8552,0.8715,2.1738,2.8244
0.7635,4.1695,1.1882,0.8295,4.0416,0.9683
0.984,1.5567,0.7429,0.9177,1.8101,0.6826
0.6178,1.0647,4.1998,0.6744,1.1167,3.8706
0.8844,3.8215,1.7235,0.9491,4.5567,1.5829
0.6502,2.08,1.46,0.7438,1.4969,1.9216
0.9241,1.0425,0.0237,0.8767,0.977,0.1325
0.8776,4.3519,0.981,0.803,4.3232,0.9622
0.8565,3.7904,1.1165,0.825,2.6192,0.9368
0.9914,4.1679,2.6194,0.8544,3.0439,2.1036
0.9912,2.5699,0.715,0.8598,1.9118,0.5913
0.8519,1.1451,2.8757,0.9196,0.9331,3.2806
0.7802,3.8357,0.6312,0.782,8.0,0.6301
0.6944,3.1851,3.8097,0.6817,3.4712,3.9369
0.5896,1.357,2.4821,0.6926,1.21,3.4099
0.5985,2.569,2.1613,0.7015,2.6885,2.7879
0.9462,2.0092,0.4818,0.8662,2.0868,0.3324
0.675,4.243,1.5664,0.7105,4.0417,1.5421
0.6568,1.632,3.3401,0.7209,1.7074,4.0466
0.9614,4.4547,2.4875,0.8782,3.6083,1.8397
0.6907,2.7532,0.1569,0.7207,2.631,0.234
0.8872,4.3502,3.6816,0.9426,3.8954,3.7619
0.8143,1.285,0.2786,0.9829,1.2635,0.2665
0.7588,1.0243,2.5269,0.8214,0.8428,3.0213
0.688,2.2099,3.1807,0.6935,2.6706,3.474
