date,action,wealth_change,market_gap,true_lambda
2020-01-01,HOLD,0.0,0.0,2.0000005040043467
2020-01-02,HOLD,0.0,0.0,2.000000521661279
2020-01-03,HOLD,0.0,-0.02014277471843462,2.0000005399157006
2020-01-06,BUY,0.0,-1.1852484206931857,2.0000005984615243
2020-01-07,HOLD,-882.0615234375,-1.1487933125939986,2.0000006193066326
2020-01-08,BUY,-7673.827491759788,-1.8739016465881164,2.000000640852766
2020-01-09,HOLD,7222.284267426352,1.0057359671022281,2.0000006631226017
2020-01-10,HOLD,0.0,0.0,2.000000686139518
2020-01-13,SELL,-1938.4361228939379,-0.29215227730186033,2.0000007599175134
2020-01-14,BUY,3007.6432914730394,0.15808239071757324,2.0000007861713227
2020-01-15,BUY,0.0,0.0,2.000000813300384
2020-01-16,SELL,-2677.621588706621,-0.5343135682545852,2.0000008413327452
2020-01-17,SELL,-2903.1387710575946,-0.2828061195492837,2.0000008702973133
2020-01-20,HOLD,-2430.8802976608276,0.016729286962380296,2.0000009630867455
2020-01-21,SELL,2356.394603729248,1.2537391186937974,2.000000996087288
2020-01-22,HOLD,5346.303271293757,0.2746498282282017,2.0000010301783653
2020-01-23,BUY,424.7413597108098,0.9262425679833708,2.000001065394591
2020-01-24,SELL,1912.1483116145246,0.019722118645848496,2.0000011017716304
2020-01-27,BUY,-3493.667573928833,-1.021415358588662,2.000001218240663
2020-01-28,SELL,-666.7761564253597,-0.8364646207601023,2.0000012596396743
2020-01-29,SELL,1505.8553705215454,0.29026118098667286,2.0000013023946566
2020-01-30,SELL,-466.932777405018,0.1694124724705537,2.000001346548238
2020-01-31,SELL,-2880.1724414818455,0.33977068186619164,2.000001392144325
2020-02-03,SELL,-1896.7083320617676,0.33655914769313844,2.0000015380466576
2020-02-04,BUY,0.0,0.0,2.000001589878723
2020-02-05,SELL,851.0197906485992,-0.021038957703800598,2.000001643393329
2020-02-06,BUY,-1596.9713802335318,0.11198102992069359,2.0000016986428584
2020-02-07,BUY,-2813.737230300554,0.13842737870565225,2.0000017556812484
2020-02-10,HOLD,-579.9194946286734,-0.3388878244853011,2.00000193809322
2020-02-11,BUY,-1346.1155967712402,-0.6487283984685455,2.000002002859095
2020-02-12,HOLD,534.7181301113451,-0.6622739074232276,2.0000020697084224
2020-02-13,SELL,-5970.683294296381,0.0038293080814821856,2.000002138705431
2020-02-14,HOLD,1676.2474861142691,0.02081414101435808,2.000002209916238
2020-02-17,SELL,-5048.277629852295,0.36060094258506536,2.000002437522019
2020-02-18,BUY,666.555109023815,0.4659000788798551,2.0000025182887757
2020-02-19,SELL,2556.4763030998874,0.577890388799629,2.0000026016300927
2020-02-20,HOLD,-3528.996685026563,-0.3054850545272325,2.0000026876245554
