Date,Investor_ID,Cash_Balance,Stock_Value,Total_Equity,Qty_AEL,Qty_CFIN,Qty_COMB,Qty_DFCC,Qty_DIAL,Qty_HAYL,Qty_HHL,Qty_HNB,Qty_JKH,Qty_LFIN,Qty_LIOC,Qty_LOFC,Qty_MELS,Qty_NDB,Qty_NTB
2020-01-01,INV_01,1000000.0,0.0,1000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-02,INV_01,1000000.0,0.0,1000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-03,INV_01,1000000.0,0.0,1000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-06,INV_01,1000000.0,0.0,1000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-07,INV_01,848516.01,149984.15,998500.16,0,0,2345,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-08,INV_01,848516.01,147106.0,995622.01,0,0,2345,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-09,INV_01,848516.01,148385.19,996901.2,0,0,2345,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-10,INV_01,719973.78,275654.73,995628.51,0,0,2345,0,0,0,0,0,0,0,0,0,0,0,2036
2020-01-13,INV_01,751433.17,240518.71,991951.87,0,0,2345,0,0,0,0,0,0,0,0,0,0,0,1527
2020-01-14,INV_01,751433.17,241514.32,992947.49,0,0,2345,0,0,0,0,0,0,0,0,0,0,0,1527
2020-01-15,INV_01,787809.23,204770.82,992580.05,0,0,1758,0,0,0,0,0,0,0,0,0,0,0,1527
2020-01-16,INV_01,787809.23,204407.2,992216.42,0,0,1758,0,0,0,0,0,0,0,0,0,0,0,1527
2020-01-17,INV_01,814511.44,173711.2,988222.64,0,0,1318,0,0,0,0,0,0,0,0,0,0,0,1527
2020-01-20,INV_01,834560.38,153549.62,988110.0,0,0,988,0,0,0,0,0,0,0,0,0,0,0,1527
2020-01-21,INV_01,708142.35,281270.1,989412.45,0,0,988,0,0,0,0,0,0,0,0,0,5492,0,1527
2020-01-22,INV_01,731752.34,261509.4,993261.75,0,0,988,0,0,0,0,0,0,0,0,0,5492,0,1145
2020-01-23,INV_01,731752.34,262144.31,993896.65,0,0,988,0,0,0,0,0,0,0,0,0,5492,0,1145
2020-01-24,INV_01,747342.24,246396.93,993739.18,0,0,741,0,0,0,0,0,0,0,0,0,5492,0,1145
2020-01-27,INV_01,747342.24,243923.97,991266.22,0,0,741,0,0,0,0,0,0,0,0,0,5492,0,1145
