Transaction_ID,Investor_ID,Date,Action,Ticker,Execution_Price,Executed_Quantity,Cash_Balance_Post
TX_100001,INV_01,2020-01-07,BUY,COMB,63.96,2345,848516.01
TX_100002,INV_01,2020-01-10,BUY,NTB,62.51,2036,719973.78
TX_100003,INV_01,2020-01-13,SELL,NTB,62.43,509,751433.17
TX_100004,INV_01,2020-01-15,SELL,COMB,62.6,587,787809.23
TX_100005,INV_01,2020-01-17,SELL,COMB,61.3,440,814511.44
TX_100006,INV_01,2020-01-20,SELL,COMB,61.37,330,834560.38
TX_100007,INV_01,2020-01-21,BUY,MELS,22.79,5492,708142.35
TX_100008,INV_01,2020-01-22,SELL,NTB,62.43,382,731752.34
TX_100009,INV_01,2020-01-24,SELL,COMB,63.75,247,747342.24
TX_100010,INV_01,2020-01-29,BUY,NTB,61.64,1818,634159.55
TX_100011,INV_01,2020-01-30,SELL,MELS,22.73,1373,665058.99
TX_100012,INV_01,2020-01-31,BUY,HNB,114.69,869,564398.64
TX_100013,INV_01,2020-02-03,SELL,NTB,61.48,741,609501.41
TX_100014,INV_01,2020-02-05,SELL,MELS,22.15,1030,632087.25
TX_100015,INV_01,2020-02-06,SELL,COMB,62.87,186,643663.79
TX_100016,INV_01,2020-02-07,BUY,COMB,62.87,1535,546196.16
TX_100017,INV_01,2020-02-10,BUY,LFIN,26.4,3102,463473.62
TX_100018,INV_01,2020-02-11,BUY,COMB,62.73,1108,393271.76
TX_100019,INV_01,2020-02-12,SELL,NTB,59.19,556,425852.57
TX_100020,INV_01,2020-02-14,SELL,LFIN,27.1,776,446671.21
TX_100021,INV_01,2020-02-17,BUY,LOFC,3.7,18108,379001.61
TX_100022,INV_01,2020-02-19,BUY,MELS,21.28,2672,321585.87
TX_100023,INV_01,2020-02-20,SELL,HNB,111.06,218,345554.22
TX_100024,INV_01,2020-02-21,BUY,LFIN,26.37,1965,293216.84
TX_100025,INV_01,2020-02-24,BUY,MELS,21.28,2067,248801.29
TX_100026,INV_01,2020-02-26,SELL,COMB,61.2,800,297270.51
TX_100027,INV_01,2020-02-27,SELL,HNB,106.79,163,314502.52
TX_100028,INV_01,2020-02-28,SELL,MELS,20.4,1957,354027.74
TX_100029,INV_01,2020-03-02,SELL,COMB,60.5,600,389961.82
TX_100030,INV_01,2020-03-03,BUY,HHL,63.49,921,330898.91
TX_100031,INV_01,2020-03-04,SELL,LOFC,3.4,4527,346136.79
TX_100032,INV_01,2020-03-05,SELL,LFIN,25.09,1073,372792.31
TX_100033,INV_01,2020-03-06,SELL,LOFC,3.1,3396,383214.64
TX_100034,INV_01,2020-03-09,SELL,LOFC,3.1,2547,391031.38
TX_100035,INV_01,2020-03-10,SELL,MELS,17.43,1468,416360.07
TX_100036,INV_01,2020-03-11,BUY,LIOC,13.61,4587,353295.03
TX_100037,INV_01,2020-03-12,SELL,NTB,55.22,417,376092.83
TX_100038,INV_01,2020-03-13,SELL,HHL,56.02,231,388905.02
TX_100039,INV_01,2020-03-17,BUY,MELS,15.74,3706,329997.48
TX_100040,INV_01,2020-03-18,BUY,HNB,85.57,578,280042.88
TX_100041,INV_01,2020-03-19,BUY,CFIN,66.84,628,237645.25
TX_100042,INV_01,2020-03-20,SELL,LIOC,12.5,1147,251844.51
TX_100043,INV_01,2020-03-24,SELL,HNB,74.82,267,271621.99
TX_100044,INV_01,2020-03-26,BUY,CFIN,62.88,647,230528.97
TX_100045,INV_01,2020-03-27,BUY,HAYL,9.41,3673,195609.54
TX_100046,INV_01,2020-03-31,SELL,CFIN,62.88,319,215469.04
TX_100047,INV_01,2020-04-01,BUY,NDB,53.48,604,182844.81
TX_100048,INV_01,2020-04-02,BUY,COMB,42.28,648,155175.88
TX_100049,INV_01,2020-04-03,SELL,LFIN,19.5,805,170712.57
TX_100050,INV_01,2020-04-06,SELL,HNB,77.64,200,186084.4
TX_100051,INV_01,2020-04-07,BUY,LFIN,19.5,1431,157907.8
TX_100052,INV_01,2020-04-08,SELL,LIOC,12.5,860,168554.15
TX_100053,INV_01,2020-04-09,BUY,AEL,10.94,2310,143023.48
TX_100054,INV_01,2020-04-14,SELL,CFIN,62.88,239,157902.54
TX_100055,INV_01,2020-04-15,BUY,LOFC,2.2,10766,133980.49
TX_100056,INV_01,2020-04-20,SELL,NTB,51.48,313,149931.52
TX_100057,INV_01,2020-04-21,BUY,HAYL,9.41,2389,127219.15
TX_100058,INV_01,2020-04-23,SELL,CFIN,62.88,180,138425.14
TX_100059,INV_01,2020-04-24,BUY,LFIN,19.5,1065,117455.13
TX_100060,INV_01,2020-04-27,SELL,HAYL,9.41,1516,131582.44
TX_100061,INV_01,2020-04-28,BUY,CFIN,62.88,313,111702.82
TX_100062,INV_01,2020-05-01,SELL,NDB,53.48,151,119697.37
TX_100063,INV_01,2020-05-04,SELL,CFIN,62.88,213,132957.78
TX_100064,INV_01,2020-05-05,SELL,LIOC,12.5,645,140942.55
TX_100065,INV_01,2020-05-06,BUY,LOFC,2.2,9609,119591.35
TX_100066,INV_01,2020-05-07,BUY,CFIN,62.88,285,101490.1
TX_100067,INV_01,2020-05-08,SELL,COMB,42.28,612,127104.41
TX_100068,INV_01,2020-05-11,SELL,HAYL,9.14,1137,137391.28
TX_100069,INV_01,2020-05-12,SELL,COMB,38.76,459,155003.78
TX_100070,INV_01,2020-05-13,BUY,DFCC,37.96,612,131541.74
TX_100071,INV_01,2020-05-15,BUY,CFIN,62.11,317,111656.63
TX_100072,INV_01,2020-05-18,BUY,AEL,12.35,1355,94752.14
TX_100073,INV_01,2020-05-19,BUY,HHL,55.09,257,80452.29
TX_100074,INV_01,2020-05-20,SELL,NTB,47.81,234,91528.25
TX_100075,INV_01,2020-05-22,SELL,DFCC,51.97,153,99400.09
TX_100076,INV_01,2020-05-25,SELL,HNB,79.19,150,111159.32
TX_100077,INV_01,2020-05-27,SELL,LFIN,21.36,1228,137121.9
TX_100078,INV_01,2020-05-28,BUY,COMB,45.58,451,116358.69
TX_100079,INV_01,2020-05-29,SELL,LFIN,22.42,921,136804.22
TX_100080,INV_01,2020-06-01,SELL,HNB,75.1,113,145206.14
TX_100081,INV_01,2020-06-02,BUY,AEL,12.68,1717,123210.43
TX_100082,INV_01,2020-06-04,BUY,MELS,15.45,1196,104551.85
TX_100083,INV_01,2020-06-05,SELL,HAYL,9.9,853,112912.38
TX_100084,INV_01,2020-06-08,SELL,CFIN,62.03,310,131949.49
TX_100085,INV_01,2020-06-09,BUY,JKH,115.61,171,111982.87
TX_100086,INV_01,2020-06-12,BUY,DIAL,6.95,2416,95024.32
TX_100087,INV_01,2020-06-16,BUY,JKH,115.22,123,80711.05
TX_100088,INV_01,2020-06-17,SELL,AEL,14.59,1346,100153.36
TX_100089,INV_01,2020-06-18,BUY,LIOC,12.66,1186,84985.09
TX_100090,INV_01,2020-06-22,BUY,MELS,17.31,736,72116.35
TX_100091,INV_01,2020-06-24,SELL,LFIN,22.33,690,87367.54
TX_100092,INV_01,2020-06-25,BUY,COMB,54.09,242,74145.92
TX_100093,INV_01,2020-06-29,BUY,COMB,55.43,200,62948.82
TX_100094,INV_01,2020-06-30,SELL,AEL,15.5,1009,78434.24
TX_100095,INV_01,2020-07-03,SELL,MELS,17.25,2511,121324.03
TX_100096,INV_01,2020-07-07,SELL,NDB,59.94,114,128089.03
TX_100097,INV_01,2020-07-08,BUY,HNB,86.05,223,108708.97
TX_100098,INV_01,2020-07-09,SELL,LOFC,3.3,7004,131591.04
TX_100099,INV_01,2020-07-10,SELL,NDB,57.11,85,136397.19
TX_100100,INV_01,2020-07-13,SELL,CFIN,57.61,233,149684.97
TX_100101,INV_01,2020-07-14,BUY,HNB,82.45,272,127034.13
