Date,ASPI,SP_SL20
2021-01-04,6894.98,2687.45
2021-01-05,6978.86,2707.64
2021-01-06,7036.76,2703.19
2021-01-07,7097.84,2692.56
2021-01-08,7119.53,2704.87
2021-01-11,7203.63,2730.85
2021-01-12,7282.24,2742.41
2021-01-13,7443.23,2782.17
2021-01-15,7734.57,2902.98
2021-01-18,7922.66,3003.3
2021-01-19,7808.97,3059.03
2021-01-20,7884.45,3096.35
2021-01-21,8131.25,3196.73
2021-01-22,8463.43,3312.35
2021-01-25,8694.35,3500.82
2021-01-26,8665.82,3504.05
2021-01-27,8812.01,3505.33
2021-01-29,8668.07,3514.18
2021-02-01,8567.07,3439.15
2021-02-02,8005.32,3187.38
2021-02-03,8244.5,3293.45
2021-02-05,8275.37,3304.3
2021-02-08,8113.26,3227.66
2021-02-09,7963.77,3169.92
2021-02-10,7732.43,3087.7
2021-02-11,7597.81,3039.28
2021-02-12,7985.0,3180.24
2021-02-15,7907.27,3163.59
2021-02-16,7580.91,3032.21
2021-02-17,7588.34,3027.66
2021-02-18,7736.36,3086.04
2021-02-19,7797.94,3098.12
2021-02-22,7597.51,3029.79
2021-02-23,7329.21,2898.43
2021-02-24,7371.8,2899.0
2021-02-25,7476.34,2966.63
2021-03-01,7438.13,2964.3
2021-03-02,7343.38,2909.77
2021-03-03,7193.09,2836.75
2021-03-04,7002.04,2768.88
2021-03-05,7054.49,2791.57
2021-03-08,7318.43,2906.69
2021-03-09,7296.88,2909.98
2021-03-10,7212.66,2867.82
2021-03-12,7247.48,2893.44
2021-03-15,7160.41,2862.81
2021-03-16,7119.7,2845.51
2021-03-17,7044.56,2816.92
2021-03-18,6930.76,2774.78
2021-03-19,6854.32,2757.45
2021-03-22,6966.71,2786.12
2021-03-23,6979.29,2801.79
2021-03-24,7135.84,2871.08
2021-03-25,7099.13,2854.25
2021-03-26,7097.39,2866.66
2021-03-29,7127.69,2884.14
2021-03-30,7115.12,2881.67
2021-03-31,7121.28,2850.12
2021-04-01,7193.28,2867.72
2021-04-05,7217.83,2874.3
2021-04-06,7280.27,2934.48
2021-04-07,7310.26,2954.94
2021-04-08,7412.46,3002.71
2021-04-09,7458.27,3020.57
2021-04-12,7558.28,3064.65
2021-04-15,7644.38,3079.86
2021-04-16,7600.57,3071.5
2021-04-19,7553.5,3042.15
2021-04-20,7355.11,2955.56
2021-04-21,7433.44,2977.32
2021-04-22,7327.91,2931.59
2021-04-23,7232.65,2879.17
2021-04-27,7066.7,2802.06
2021-04-28,7239.94,2878.8
2021-04-29,7216.7,2862.32
2021-04-30,7208.2,2869.25
2021-05-03,7215.6,2850.09
2021-05-04,7111.45,2815.94
2021-05-05,7145.97,2832.67
2021-05-06,7188.09,2838.96
2021-05-07,7242.0,2875.64
2021-05-10,7135.8,2838.19
2021-05-11,7143.38,2843.4
2021-05-12,7161.77,2850.43
2021-05-13,7228.23,2869.52
2021-05-17,7350.14,2941.07
2021-05-18,7355.14,2956.04
2021-05-19,7341.03,2953.68
2021-05-20,7293.59,2926.78
2021-05-21,7220.72,2900.34
2021-05-24,7233.58,2900.61
2021-05-25,7278.24,2925.87
2021-05-28,7333.42,2955.71
2021-05-31,7403.44,2978.81
2021-06-01,7450.54,3002.31
2021-06-02,7436.55,3000.92
2021-06-03,7516.2,3025.76
2021-06-04,7567.38,3046.47
2021-06-07,7591.9,3055.14
2021-06-08,7542.2,3033.01
2021-06-09,7564.26,3042.47
2021-06-10,7601.16,3074.1
2021-06-11,7610.3,3067.03
2021-06-14,7582.27,3054.94
2021-06-15,7605.53,3051.52
2021-06-16,7641.19,3072.67
2021-06-17,7659.0,3079.59
2021-06-18,7715.46,3083.38
2021-06-21,7726.73,3064.45
2021-06-22,7743.71,3026.08
2021-06-23,7742.14,3029.6
2021-06-25,7809.15,3042.63
2021-06-28,7877.84,3037.78
2021-06-29,7856.64,3002.96
2021-06-30,7837.76,2968.26
2021-07-01,7728.61,2956.12
2021-07-02,7746.56,2970.75
2021-07-05,7794.21,2952.96
2021-07-06,7792.21,2931.31
2021-07-07,7809.38,2936.41
2021-07-08,7811.61,2955.88
2021-07-09,7852.19,2979.01
2021-07-12,7866.47,2987.75
2021-07-13,7913.47,3002.27
2021-07-14,7939.35,3012.17
2021-07-15,7986.45,3031.32
2021-07-16,7966.95,3030.27
2021-07-19,8022.55,3081.94
2021-07-20,8068.33,3095.09
2021-07-22,8136.76,3092.31
2021-07-26,8122.73,3060.01
2021-07-27,8092.98,3048.22
2021-07-28,8096.98,3050.99
2021-07-29,8140.76,3071.54
2021-07-30,8120.48,3062.17
2021-08-02,8148.02,3072.38
2021-08-03,8222.55,3111.15
2021-08-04,8210.31,3109.97
2021-08-05,8011.94,3037.61
2021-08-06,8099.12,3056.02
2021-08-09,8101.39,3039.06
2021-08-10,8070.88,3032.24
2021-08-11,8095.57,3041.17
2021-08-12,7980.91,2989.02
2021-08-13,7996.04,2990.91
2021-08-16,7937.28,2977.31
2021-08-17,8134.52,3028.56
2021-08-18,8342.85,3073.42
2021-08-19,8260.08,3047.07
2021-08-20,8240.06,3051.64
2021-08-23,8479.65,3147.96
2021-08-24,8667.95,3175.73
2021-08-25,8756.63,3183.73
2021-08-26,8920.71,3327.08
2021-08-27,8931.33,3345.25
2021-08-30,8894.44,3310.37
2021-08-31,8997.6,3364.59
2021-09-01,9163.13,3428.72
2021-09-02,9335.98,3500.89
2021-09-03,9316.65,3494.76
2021-09-06,9227.88,3452.41
2021-09-07,9092.74,3415.46
2021-09-08,8764.21,3313.02
2021-09-09,8986.4,3376.04
2021-09-10,8865.3,3335.51
2021-09-13,8536.88,3204.07
2021-09-14,8692.6,3256.32
2021-09-15,8931.21,3332.26
2021-09-16,8848.04,3309.99
2021-09-17,8801.95,3291.87
2021-09-21,8770.39,3266.79
2021-09-22,8788.05,3283.5
2021-09-23,8830.35,3313.42
2021-09-24,8940.11,3347.81
2021-09-27,9269.65,3416.12
2021-09-28,9339.28,3444.06
2021-09-29,9433.77,3504.14
2021-09-30,9459.94,3534.82
2021-10-01,9442.3,3539.55
2021-10-04,9542.33,3540.24
2021-10-05,9533.64,3539.74
2021-10-06,9626.45,3602.46
2021-10-07,9671.0,3619.47
2021-10-08,9678.89,3613.14
2021-10-11,9649.26,3570.08
2021-10-12,9640.36,3569.39
2021-10-13,9497.49,3506.91
2021-10-14,9621.65,3547.1
2021-10-15,9623.81,3546.61
2021-10-18,9709.14,3553.45
2021-10-21,9881.5,3572.7
2021-10-22,9915.22,3605.72
2021-10-25,10046.8,3644.73
2021-10-26,10127.04,3659.73
2021-10-27,10146.9,3698.72
2021-10-28,10137.85,3687.56
2021-10-29,10162.93,3708.52
2021-11-01,10132.12,3678.35
2021-11-02,10271.71,3668.56
2021-11-03,10412.02,3656.6
2021-11-05,10632.21,3635.2
2021-11-08,10621.4,3649.94
2021-11-09,10361.8,3604.06
2021-11-10,10522.6,3632.4
2021-11-11,10686.37,3625.37
2021-11-12,10666.54,3615.95
2021-11-15,10752.82,3598.38
2021-11-16,11008.33,3606.85
2021-11-17,11024.89,3652.66
2021-11-19,10658.72,3674.58
2021-11-22,10817.24,3698.12
2021-11-23,10928.6,3747.53
2021-11-24,10910.06,3751.06
2021-11-25,11025.73,3767.41
2021-11-26,11197.68,3822.61
2021-11-29,11202.09,3829.65
2021-11-30,11440.53,3875.96
2021-12-01,11409.88,3905.65
2021-12-02,11252.3,3912.88
2021-12-03,10988.32,3884.57
2021-12-06,11034.41,3947.0
2021-12-07,11088.17,3964.42
2021-12-08,11021.07,3959.84
2021-12-09,11178.43,3985.89
2021-12-10,11393.48,4074.63
2021-12-13,11662.38,4193.28
2021-12-14,11796.88,4248.54
2021-12-15,11754.46,4233.02
2021-12-16,11678.65,4212.29
2021-12-17,11753.44,4253.67
2021-12-20,11650.1,4190.37
2021-12-21,11640.91,4172.68
2021-12-22,11814.37,4219.52
2021-12-23,11951.23,4249.58
2021-12-24,12070.68,4253.83
2021-12-27,12008.49,4217.43
2021-12-28,11907.7,4202.64
2021-12-29,11915.18,4201.55
2021-12-30,12019.75,4209.99
2021-12-31,12226.01,4233.25
