Date,ASPI,SP_SL20
2022-01-03,12625.82,4343.35
2022-01-04,12800.54,4343.35
2022-01-05,13076.91,4377.06
2022-01-06,13169.4,4480.15
2022-01-07,13280.94,4515.09
2022-01-10,13117.07,4554.99
2022-01-11,13079.65,4544.43
2022-01-12,13122.95,4518.94
2022-01-13,13338.49,4490.83
2022-01-18,13457.2,4554.94
2022-01-19,13462.39,4618.26
2022-01-20,13361.17,4623.95
2022-01-21,13371.61,4604.8
2022-01-24,13384.11,4604.99
2022-01-25,13210.17,4627.03
2022-01-26,13065.75,4534.94
2022-01-27,12885.7,4478.34
2022-01-28,12863.14,4400.91
2022-01-31,13009.5,4380.55
2022-02-01,12922.12,4397.57
2022-02-02,12584.02,4344.42
2022-02-03,12762.6,4221.16
2022-02-07,12631.69,4333.76
2022-02-08,12382.47,4277.12
2022-02-09,12081.69,4165.6
2022-02-10,12207.46,4052.58
2022-02-11,12459.8,4114.71
2022-02-14,12470.81,4219.42
2022-02-15,12364.8,4235.35
2022-02-17,12352.38,4217.23
2022-02-18,12134.04,4224.63
2022-02-21,11591.37,4140.65
2022-02-22,11592.3,3932.78
2022-02-23,11217.76,3936.96
2022-02-24,10657.05,3791.57
2022-02-25,11107.9,3584.58
2022-02-28,11577.94,3742.33
2022-03-02,11406.34,3936.81
2022-03-03,11162.66,3860.24
2022-03-04,11243.49,3765.0
2022-03-07,10960.49,3819.44
2022-03-08,10523.03,3714.28
2022-03-09,10163.72,3586.93
2022-03-10,10856.07,3438.25
2022-03-11,10677.46,3731.14
2022-03-14,10565.26,3655.18
2022-03-15,10284.3,3616.78
2022-03-16,10222.55,3514.83
2022-03-18,10353.83,3524.06
2022-03-21,10421.74,3585.47
2022-03-22,10490.74,3617.86
2022-03-23,10457.81,3593.31
2022-03-24,10451.71,3593.95
2022-03-25,10455.32,3611.71
2022-03-28,10142.29,3639.12
2022-03-29,9647.55,3505.15
2022-03-30,9294.89,3338.03
2022-03-31,8903.87,3196.19
2022-04-01,8471.43,2830.93
2022-04-04,8244.55,2684.82
2022-04-05,8738.08,2872.26
2022-04-06,8580.93,2797.52
2022-04-07,8249.7,2668.37
2022-04-08,8135.25,2623.9
2022-04-25,7513.85,2355.54
2022-04-26,6905.37,2125.96
2022-04-27,7280.52,2356.71
2022-04-28,7611.43,2503.73
2022-04-29,7624.26,2509.24
2022-05-04,7598.04,2510.99
2022-05-05,7567.55,2479.51
2022-05-06,7427.48,2401.21
2022-05-09,7516.63,2443.05
2022-05-12,7754.62,2530.17
2022-05-13,8098.41,2662.31
2022-05-17,8457.65,2809.81
2022-05-18,8417.21,2795.53
2022-05-19,8173.86,2703.7
2022-05-20,8265.61,2750.91
2022-05-23,8474.49,2844.97
2022-05-24,8393.47,2816.45
2022-05-25,8370.16,2780.03
2022-05-26,8319.58,2744.54
2022-05-27,8315.55,2733.04
2022-05-30,8231.33,2719.08
2022-05-31,8108.09,2679.33
