Date,ASPI,SP_SL20
2023-01-02,8509.6,2640.55
2023-01-03,8511.54,2652.68
2023-01-04,8463.93,2632.96
2023-01-05,8424.11,2612.94
2023-01-09,8380.6,2580.87
2023-01-10,8367.69,2565.33
2023-01-11,8380.87,2560.95
2023-01-12,8334.05,2549.92
2023-01-13,8262.58,2528.08
2023-01-17,8376.3,2607.51
2023-01-18,8386.27,2607.38
2023-01-19,8484.92,2635.77
2023-01-20,8718.15,2724.22
2023-01-23,8990.79,2818.94
2023-01-24,8902.24,2784.92
2023-01-25,8938.06,2807.22
2023-01-26,8926.56,2798.0
2023-01-27,8958.79,2815.0
2023-01-30,8889.67,2782.25
2023-01-31,8865.05,2764.51
2023-02-01,8950.01,2799.53
2023-02-02,9022.38,2812.75
2023-02-03,9178.61,2863.64
2023-02-06,9100.14,2836.62
2023-02-07,8975.86,2785.19
2023-02-08,8987.45,2782.56
2023-02-09,8962.37,2767.48
2023-02-10,8938.48,2756.41
2023-02-13,8790.72,2695.36
2023-02-14,8638.92,2648.99
2023-02-15,8628.58,2644.74
2023-02-16,8843.05,2718.31
2023-02-17,8848.36,2712.74
2023-02-20,9082.33,2777.78
2023-02-21,9146.35,2793.47
2023-02-22,9160.25,2789.45
2023-02-23,9255.99,2824.1
2023-02-24,9315.87,2833.45
2023-02-27,9198.63,2804.42
2023-02-28,9188.48,2796.71
2023-03-01,9222.68,2805.26
2023-03-02,9333.83,2828.48
2023-03-03,9444.92,2838.18
2023-03-07,9642.94,2869.14
2023-03-08,9647.86,2851.54
2023-03-09,9703.48,2865.93
2023-03-10,9606.96,2823.14
2023-03-13,9491.04,2794.84
2023-03-14,9550.7,2791.33
2023-03-15,9587.79,2809.99
2023-03-16,9596.55,2814.61
2023-03-17,9670.42,2840.11
2023-03-20,9699.96,2851.65
2023-03-21,9604.43,2800.75
2023-03-22,9527.05,2768.27
2023-03-23,9395.98,2722.94
2023-03-24,9419.35,2725.52
2023-03-27,9285.21,2677.98
2023-03-28,9233.4,2656.3
2023-03-29,9272.43,2673.25
2023-03-30,9228.5,2664.26
2023-03-31,9301.09,2682.83
2023-04-03,9236.93,2676.48
2023-04-04,9173.97,2664.27
2023-04-06,9256.9,2685.91
2023-04-10,9322.85,2728.01
2023-04-11,9411.69,2769.58
